Title,Also Known As,Written By,Director,Cast,Genre,Network,Episodes,Release Dates,Poster,Description
Kill Heel,N/A,"Lee Choon-woo
Sin Kwang-ho",Noh Do-cheol,"Kim Ha-neul
Lee Hye-young
Kim Sung-ryung","Drama
Thriller",tvN,14,"March 9 –
April 21, 2022",N/A,
Jugglers (TV series),N/A,Jo Yong-hae,Kim Jung-hyun,"Baek Jin-hee
Choi Daniel
Kang Hye-jung
Lee Won-keun","Romantic comedy
Workplace",KBS2,16,"December 4, 2017 –
January 23, 2018",N/A,A secretary with a passive and obedient personality meets a boss who is completely uninterested in others and has no consideration for them.[5]
True Beauty (South Korean TV series),N/A,Lee Si-eun,Kim Sang-hyeop [ko],"Moon Ga-young
Cha Eun-woo
Hwang In-youp
Park Yoo-na","Romance
Comedy
Slice of life
Coming-of-age",tvN,16,"December 9, 2020 –
February 4, 2021",N/A,"Lim Ju-kyung is a high school student who has always had a complex personality towards her appearance since childhood, since she was badly bullied by her classmates for her face. Struggling with insecurity and ridicule, she decides to transfer schools to escape her past and start fresh. To overcome her low self-esteem and avoid further bullying, she masters the art of makeup, using it to transform her appearance. Her excellent makeup skills enhance her beauty so much that people at her new school believe she is naturally stunning, earning her the title of a ""goddess."""
Blow Breeze,"Blow It, Mi-poong
Blown with the Beautiful Wind[a]
Windy Mi-poong[3]
Breeze of Love[4]
Breezy Love",Kim Sa-kyung,Yoon Jae-moon,"Son Ho-jun
Lim Ji-yeon
Han Joo-wan
Oh Ji-eun[b]
Im Soo-hyang[b]
Hwang Bo-ra
Jang Se-hyun","Romance
Comedy
Melodrama",MBC TV,53 (50 (original) + 3 (extension))[6],"August 27, 2016 –
February 26, 2017",N/A,"Mi-poong is a North Korean girl who studies dancing. She is bright and easygoing despite the situation in her country. One day, shedefects to Seoul, South Korea. She then meets Jang-go, an honest South Korean lawyer. Both of them get entangled in a family inheritance problem.[7]"
Stealer: The Treasure Keeper,Stealer[1],Shin Kyung-il[4],"Choi Joon-bae[5]
Min Jung-ah[5]","Joo Won
Lee Joo-woo
Jo Han-chul
Kim Jae-won
Choi Hwa-jung","Action[1]
Comedy[1]
Crime[2]",tvN,12,"April 12 –
May 18, 2023",N/A,Hwang Dae-myung (Joo Won) is a government official who is suddenly suspected of having a connection with a mysterious cultural property thief known as Skunk. He then joins an unofficial cultural asset recovery team named Karma to hunt down the thief and fight those who cannot be judged by the law.[1][11]
The Vineyard Man,The Man of the Vineyard,Jo Myung-joo,Park Man-young,"Yoon Eun-hye
Oh Man-seok","Romance
Comedy
Drama",Korean Broadcasting System,16,"24 July –
12 September 2006",N/A,"The story revolves around the life of Lee Ji-hyun (Yoon Eun-hye), a city girl who wants to show the world that beneath her seemingly ordinary characteristics is an extraordinary girl who will someday achieve great things. Ji-hyun is a striving young clothing designer, who hopes to have her own label one day. Her plans are put on hold when she reluctantly takes up a tempting offer from her grand-uncle. She has to work one year in her grand-uncle's vineyard in order to inherit it. In the vineyard, the challenge of adjusting to country life is made more difficult when she has to learn how to grow grapes under the supervision of the seemingly uncouth and unsympathetic man in charge of the vineyard, Jang Taek-gi (Oh Man-seok)."
"Sweet, Savage Family","My Sweet and Sour Family
Sweet, Scary Family
Sweet Mob Family","Son Geun-joo
Kim Ji-eun",Kang Dae-sun,"Jung Joon-ho
Moon Jeong-hee
Jung Woong-in
Yoo Sun","Family
Comedy
Romance",MBC TV,16,"November 18, 2015 –
January 14, 2016",N/A,"Yoon Tae-soo (Jung Joon-ho) struggles to balance his life as a kind loving father who heads his family while hiding his mob identity from them. Hoping to gain the respect of his grown-up children and hold his head high in front of others, Tae-soo tries to legalize his construction company to incorporate his gang into proper, clean businesses only to meet obstruction from his biggest rival, Baek Ki-beom (Jung Woong-in)."
Monstar,N/A,Jung Yoon-jung,Kim Won-seok[1],"Yong Jun-hyung
Ha Yeon-soo
Kang Ha-neul","Romance
Music
Teen Drama",Mnet,12,"17 May –
2 August 2013",N/A,"Seol-chan, a member of Korea's most popularK-popboy bandMen in Black, is provoked into pushing one of hiscrazy fans, and when that goes viral, his reputation plummets. As damage control, his agency tells him to quietly attend school for a while. Meanwhile, Se-yi, a new transfer student from New Zealand, draws attention in the school for both her talent and oddness. Misunderstandings occur between Seol-chan, Se-yi, and their other classmates. But in the midst of all the chaos, these students find a common interest which connects them to each other: music. Every character has his or her own untold stories, which have had significant impact in their lives. But as they gather together to sing and play the music they love, they learn to soothe the pain inside them, and to open each of their souls."
Radiant Office,"Self-Radiation Office
Self-Dazzling Office Self-Stunning Office",Jung Hoe-hyun,"Jung Ji-in, Park Sang-hoon","Go Ah-sung
Ha Seok-jin
Kim Dong-wook
Lee Dong-hwi
Lee Ho-won","Romantic comedy
Workplace drama",MBC,16,"March 15 –
May 4, 2017",N/A,"Eun Ho-won faces repeat rejections in her job search until despair drives her to attempt suicide. At the hospital, she learns she might be terminally-ill, but then at the same time, she also finally succeeds in getting hired. Thinking she has nothing to lose, she tackles her job and life with new perspectives. Her superior at work, Seo Woo-jin, considers her a pain in the neck. They become a bickering pair."
The Snow Queen (South Korean TV series),N/A,"Kim Eun-hee
Yoon Eun-kyung",Lee Hyung-min,"Hyun Bin
Sung Yu-ri
Im Joo-hwan
Yoo In-young","Melodrama
Romance",Korean Broadcasting System,16,"November 13, 2006 –
January 8, 2007",N/A,"The drama starts with Han Tae-woong (Hyun Bin), a quiet, 17-year-old math genius, entering a prestigious high school. There he meets Kim Jung-kyu (Lee Seon-ho), also a genius in mathematics. The two immediately develop rivalry and tension, but later become best friends. Through their conversations, we learn that Jung-kyu is a big boxing enthusiast. Meanwhile, Tae-woong stumbles upon a little girl being bullied in the street and saves her. The girl develops a crush on him and gives him her pager so that she can see him again, but they never exchange names or contacts. They promise to meet again soon, but this never happens."
Triple (TV series),N/A,"Lee Jung-ah
Oh Su-jin",Lee Yoon-jung,"Lee Jung-jae
Lee Sun-kyun
Yoon Kye-sang
Lee Ha-na
Min Hyo-rin","Romance
Drama",Munhwa Broadcasting Corporation,16,"June 11 –
July 30, 2009",N/A,"Eighteen-year-old aspiringfigure skaterLee Ha-ru (Min Hyo-rin) moves toSeoulto pursue her ice dreams. In the city she reunites with her stepbrother Shin Hwal (Lee Jung-jae), whom she hasn't seen in years. Her divorcee mother had remarried Hwal's father when Ha-ru was 6, but their parents died in a car accident when she was 13. Ha-ru was sent to live with her real father (Choi Baek-ho) in the countryside and had since lost touch with Hwal."
Aema,N/A,Lee Hae-young,Lee Hae-young,"Lee Hanee
Bang Hyo-rin [ko]
Jin Seon-kyu
Cho Hyun-chul","Historical
Comedy drama",Netflix,6,"August 22, 2025",N/A,"In the vibrant yet male-dominated world of 1980s Korean cinema located on Seoul'sChungmu-roroad, the sensational erotic film ""Madame Aema"" is set to make its mark, sparking both excitement and controversy. The story centers on two actresses with clashing personalities who are united by a shared struggle against the industry's exploitative nature."
Nevertheless (TV series),N/A,Jung Won,Kim Ga-ram,"Han So-hee
Song Kang",Romance[1],JTBC,10[2],"June 19 –
August 21, 2021",N/A,"An uncertain romance begins between Yoo Na-bi, a heartbroken woman who no longer believes in love, and Park Jae-eon, a flirtatious man who does not want to commit to a relationship, but gradually starts to fall in love with Na-Bi.[10]"
Ice Adonis,Yellow Boots,Yeo Jung-mi,Choi Eun-kyung,"Lee Yu-ri
Hyun Woo-sung
Yoon A-jung
Jung Chan","Revenge
Melodrama",tvN,108,"February 27 –
August 30, 2012",N/A,"Yeon-hwa and Yoo-ra became sisters after Yeon-hwa's mother engaged with Yoo-ra's father, but there is an invisible distance between both of them, especially Yeon-hwa's lover is Yoon-jae, who Yoo-ra crushes on. Until one day, Yoo-ra's car accidentally crashes into Yoon-hee, Yoon-jae's beloved sister, causing her to die. Yoo-ra then, comes up with a plan to blame Yeon-hwa for the accident, with the help of her father; a judge, and a police officer Park, whom she and her father bribed. This causes Yeon-hwa to be sentenced in jail for three years. When Yeon-hwa heard the news that Yoon-jae and Yoo-ra are to be married, she manages to escape from jail and plans to show up at the wedding unannounced, and do something drastic to Yoo-ra to get her to confess. After knowing that Yoon-jae and Yoo-ra are now a seemingly happy couple, Yeon-hwa decides to focus on keeping her health strong, and gives birth to a boy named Tae-yang (she didn't know she was pregnant before trying to escape prison). Because she is in jail, she is only allowed to take care of her baby for 18 months, and the baby has to be sent away, where they can get picked up after their parent is released from jail. At 18 months, the baby is heading off to an orphanage. However, Yoo-ra finds out about the baby and decides to switch his identity with another baby and send Tae-yang to a different couple, who was looking for a kid to adopt."
Crazy Love (2022 TV series),N/A,Kim Bo-gyeom[2],Kim Jung-hyun[2],"Kim Jae-wook
Krystal Jung
Ha Jun",Romantic comedy[1],KBS2,16,"March 7 –
April 26, 2022",N/A,"Noh Go-jin (Kim Jae-wook), the CEO of GOTOP —  South Korea's top math institute — pretends to haveamnesiaafter injuring himself in a car accident. Lee Shin-ah (Krystal Jung), Go-jin's introverted and quiet secretary, is suffering from multi diagnosis. Believing that Go-jin has amnesia, Shin-ah pretends to be his fiancé."
Another Miss Oh,N/A,"Park Hae-young
Wi So-young","Song Hyun-wook
Lee Jong-jae","Eric Mun
Seo Hyun-jin
Jeon Hye-bin","Romance[1]
Drama[1]",tvN,18 + 2 (special),"May 2 –
June 28, 2016",N/A,"Park Do-kyung (Eric Mun) is a sound director in his 30s. One year ago, his bride, Oh Hae-young (pretty) (Jeon Hye-bin), disappeared on their wedding day leaving him miserable. One year after that incident, Do-kyung was told that Hae-young is going to marry a young entrepreneur named Han Tae-jin (Lee Jae-yoon). He exacted revenge by sabotaging Tae-jin's business leaving him bankrupt. However, Oh Hae-young (just/""그냥"") (Seo Hyun-jin) was actually just a stranger who coincidentally has the same name as the other Oh Hae-young (pretty) who left him. Coincidentally, Oh Hae-young (just) is the girl that Do-kyung had been seeing lately in his visions, and he sees snapshots of the future with her in it."
Run (South Korean TV series),N/A,N/A,Kim Hyun-sil,"Ji Sung
Kang Ki-young
Hwang Hee
Lee Tae-sun","Reality
Variety show",tvN,4,"January 2 –
January 23, 2020",N/A,"Run (stylized as RUN) is a 2020 South Korean television entertainment program starring Ji Sung, Kang Ki-young, Hwang Hee and Lee Tae-sun. It aired on tvN on Thursdays at 23:00 (KST) in January 2020.[1][2]"
Two Wives (2009 TV series),N/A,Lee Yoo-seon,Yoon Ryu-hae,"Kim Ji-young
Son Tae-young
Kim Ho-jin
Kang Ji-sub","Melodrama
Family
Romance",Seoul Broadcasting System,156,"April 5 –
October 30, 2009",N/A,"Kang Chul-soo (Kim Ho-jin) divorces his wife Yoon Young-hee (Kim Ji-young) to start anew with single mother Han Ji-sook (Son Tae-young), with whom he had carried on an affair. After the split, however, Chul-soo gets into a car accident and wakes up with no memory of Ji-sook. Chul-soo thinks he is still married to Young-hee, and Young-hee and everyone else can only play along while he recovers."
Special Labor Inspector,N/A,Kim Ban-di,Park Won-kook,"Kim Dong-wook
Park Se-young
Ryu Deok-hwan
Kim Kyung-nam","Social satire
Action
Comedy[1]",MBC TV,32[a],"April 8 –
May 28, 2019",N/A,The series follows the story of a civil servant who is appointed as a labor inspector in the Ministry of Employment and Labor.
Crash Landing on You,N/A,Park Ji-eun,Lee Jung-hyo,"Hyun Bin
Son Ye-jin
Seo Ji-hye
Kim Jung-hyun",Romantic comedy[1][2],tvN,16,"December 14, 2019 –
February 16, 2020",N/A,"One day, while Yoon Se-ri (Son Ye-jin) isparaglidinginSeoul, a sudden tornado blows her off course and knocks her out. She awakens to find her paraglide hanging in a tree in a forest in the North Korean portion of theDMZ. There she meets Ri Jeong-hyeok (Hyun Bin), who eventually gives her shelter and develops plans to help her return to South Korea secretly. Over time, they fall in love, despite thedivide between their respective countries."
Freeze (TV series),N/A,"Ha Seon-jae
Lee Jin-woo",Jung Jae-hoon,"Lee Seo-jin
Park Han-byul
Son Tae-young","Drama, Horror, Romance",CJ CGV,5,"October 27 –
October 31, 2006",N/A,"Baek Joong-won once saved thevampireEhwa from beingburned at the stakeby his fellow villagers. While attempting to escape together, Joong-won fell off a cliff, and Ehwa gave him her blood to save him from dying. Thus, Joong-won was also transformed into a vampire."
Golden Rainbow (TV series),Gold Rainbow,"Son Young-mok
Cha Yi-young","Kang Dae-sun
Lee Jae-jin","Uee
Jung Il-woo
Cha Ye-ryun
Lee Jae-yoon","Romance
Family
Melodrama",MBC TV,41,"November 2, 2013 –
March 30, 2014",N/A,"Adoptedand raised by the same father, sevenorphansgrew up together as a family in a town near the ocean. With the bond between them even stronger than that of blood-related siblings, they experience hardships together, and struggle to succeed in the marine products industry."
